model_idx,binSize,dtFactor,tauRNN,ampInWN,pVar,chi2
0.0,0.03,1.0,0.2,0.001,0.49911282747790264,89.22792923846075
1.0,0.03,1.0,0.2,0.01,0.4956373593437906,89.68313650225895
2.0,0.03,1.0,0.3,0.001,0.5064151818475267,87.76256841198011
3.0,0.03,1.0,0.3,0.01,0.5040616079850573,88.06129212336042
4.0,0.03,2.0,0.2,0.001,0.5048281471661985,88.11898442694125
5.0,0.03,2.0,0.2,0.01,0.5021326223805166,88.44853596401576
6.0,0.03,2.0,0.3,0.001,0.5106697122849868,86.93887802673274
7.0,0.03,2.0,0.3,0.01,0.5080342118106232,87.32050899093778
8.0,0.03,3.0,0.2,0.001,0.5059168838675296,87.9054238426642
9.0,0.03,3.0,0.2,0.01,0.5047405222785651,87.95967699964181
10.0,0.03,3.0,0.3,0.001,0.512257381278618,86.63494207179156
11.0,0.03,3.0,0.3,0.01,0.5082798034322211,87.25197639369479
12.0,0.03,4.0,0.2,0.001,0.5050937102282256,88.03796072468462
13.0,0.03,4.0,0.2,0.01,0.502892157161227,88.27402098913386
14.0,0.03,4.0,0.3,0.001,0.5120223030018414,86.67170608106291
15.0,0.03,4.0,0.3,0.01,0.5102453460629292,86.90332912877376
16.0,0.03,5.0,0.2,0.001,0.5073511235959246,87.63739006615704
17.0,0.03,5.0,0.2,0.01,0.5059949867198565,87.73380456882718
18.0,0.03,5.0,0.3,0.001,0.5108337121471963,86.88984718824422
19.0,0.03,5.0,0.3,0.01,0.5107330154349388,86.8119104441894
